id,name,rank_all,rank_futures,rank_equities_only,profit,trades,win_rate,profit_factor,avg_win,avg_loss,profit_1y,first,last,active_days,green_day_pct,daily_sharpe_ann,max_drawdown,recovery_factor,worst_day,best_day,top5pct_days_share_of_profit,profitable_years,years,recent_asset_mix,recent_median_hold_min,tickers_hidden,twitter,url
60096,Barni11,354,,116,8913.31,1774,0.4504,1.2,67.9959,-46.5799,1355.37,2021-09-09,2026-09-22,516,0.5581,1.8627,2404.8765,3.7063,-703.92,702.0845,1.0665,3,6,STK:5,36.4167,False,,https://kinfo.com/portfolio/60096/performance
32891,Short4Life,355,,117,8655.76,1447,0.5681,1.15,107.4673,-122.6341,-4430.2,2023-11-16,2026-09-21,633,0.4976,0.7612,5335.6,1.6223,-1544.43,1486,2.494,3,4,STK:5,,False,,https://kinfo.com/portfolio/32891/performance
68668,rross,358,,118,8585.17,876,0.5308,1.37,98.2177,-80.8221,-2317.6,2025-04-15,2026-09-02,224,0.5179,1.5324,5141.4853,1.6698,-2415.502,3042.3162,1.3841,1,2,STK:5,,False,,https://kinfo.com/portfolio/68668/performance
104933,mbminno,359,,119,8580.35,331,0.5831,1.15,335.9502,-407.667,8580.35,2025-10-01,2026-09-22,111,0.7027,0.3439,34606.382,0.2479,-34134.2589,13678.8285,2.8219,2,2,STK:5,10.9167,False,,https://kinfo.com/portfolio/104933/performance
29407,snipa,364,,120,7969.73,622,0.508,1.18,166.0467,-145.4282,-263.2,2024-01-09,2026-08-26,318,0.5597,1.1061,6578.8986,1.2114,-1915.0295,1447.65,1.6782,2,3,STK:5,363.6,False,@slattius,https://kinfo.com/portfolio/29407/performance
101262,quantic,378,31,,6647.13,3960,0.476,1.01,654.1811,-591.0767,7587.8,2018-10-02,2026-09-04,1071,0.563,0.0693,40053.5849,0.166,-9204.96,21512.6,26.6683,5,9,OPT:5,78.6167,False,,https://kinfo.com/portfolio/101262/performance
104099,kingDat,383,32,,6414.9,493,0.6613,1.09,235.7825,-421.8398,6414.9,2026-08-13,2026-09-22,28,0.6786,4.1478,2379.8679,2.6955,-1616.0283,3132.6547,0.4883,1,1,OPT:5,74.25,False,,https://kinfo.com/portfolio/104099/performance
60432,Dexcorp,,33,,3492.46,1422,0.7145,1.05,74.5209,-177.8799,3492.46,2025-12-01,2026-09-22,209,0.6746,0.25,14539.283,0.2402,-14166.0734,2102.1799,2.96,2,2,OPT:1;STK:4,350.5667,False,,https://kinfo.com/portfolio/60432/performance
60356,Myson,,34,,2838.1,259,0.6178,1.11,185.2926,-270.7952,2838.1,2026-06-25,2026-08-25,43,0.6512,1.3055,3570.5,0.7949,-1876.95,1437,0.9302,1,1,FUT:5,34.9458,False,,https://kinfo.com/portfolio/60356/performance
95552,RamonBaixauli ,,35,,2072.78,924,0.5812,1.07,60.8215,-79.0397,2072.78,2026-04-27,2026-08-26,96,0.4479,1.2862,1628.16,1.2731,-515.14,753.94,1.4009,1,1,FUT:5,11.3811,False,,https://kinfo.com/portfolio/95552/performance
61594,co_trading,,36,,40.54,997,0.3761,1.0,101.123,-60.9013,40.54,2026-01-07,2026-07-30,123,0.4797,0.0143,3375.08,0.012,-1067.2,1297.2,156.5614,1,1,FUT:5,1.8496,False,,https://kinfo.com/portfolio/61594/performance
102314,KINGBOB,,37,,-1089.18,244,0.2951,0.99,1973.1761,-832.3131,-1089.18,2026-07-07,2026-09-07,24,0.5417,-0.1403,37146.74,-0.0293,-14152.38,8183.72,,0,1,FUT:5,19.1222,False,,https://kinfo.com/portfolio/102314/performance
69680,TradingByMateo,,38,,-1202.48,142,0.9014,0.96,248.1447,-2354.6429,-1202.48,2025-09-29,2026-07-13,52,0.9231,-0.1528,15222.0,-0.079,-15222,1660.7,,1,2,FUT:5,0.8061,False,@bclmkj,https://kinfo.com/portfolio/69680/performance
62724,A250,,39,,-1224.7,528,0.3902,0.98,303.7102,-198.1025,6377.05,2025-07-22,2026-09-22,187,0.4118,-0.1104,13881.0,-0.0882,-2082,8518,,1,2,FUT:5,17.3,False,,https://kinfo.com/portfolio/62724/performance
105338,ORBProTrading,,40,,-1664.08,117,0.5385,0.95,457.866,-564.9933,-1664.08,2026-08-03,2026-09-23,37,0.6216,-0.6743,5380.32,-0.3093,-4624.4,1505.56,,0,1,FUT:5,14.9991,False,,https://kinfo.com/portfolio/105338/performance
98417,Gamma Taurus,,41,,-2259.35,172,0.5872,0.77,72.8391,-135.438,-2259.35,2026-04-07,2026-08-24,33,0.7576,-2.2393,2737.25,-0.8254,-2411.7,264.2,,0,1,FUT:5,5.2873,False,@gammaYtaurus,https://kinfo.com/portfolio/98417/performance
63563,zizo,,43,,-4371.95,3689,0.2426,0.95,97.7688,-32.883,897.05,2020-08-11,2026-09-11,1072,0.2715,-0.2121,13387.1,-0.3266,-836.4,7383.96,,2,7,FUT:1;STK:4,13.5667,False,,https://kinfo.com/portfolio/63563/performance
